"filename", "language", "XML", "C#", "Docker", "JSON", "Markdown", "PowerShell", "Razor", "CSS", "SCSS", "JavaScript", "YAML", "HTML", "comment", "blank", "total"
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Controllers\AuthController.cs", "C#", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 73
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Controllers\BasketController.cs", "C#", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 66
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Controllers\CoursesController.cs", "C#", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 103
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Controllers\HomeController.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Controllers\OrderController.cs", "C#", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 74
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Controllers\ShopController.cs", "C#", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 34
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Controllers\UserController.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Dockerfile", "Docker", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Exceptions\UnAuthorizeException.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\User\Desktop\UdemyMicroservices\Clients\FreeCourse.Web\Extensions\ServiceExtension.cs", "C#", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 60
